Country,City,Latitude,Longitude,Avg_Precip_mm,Avg_Temp_celsius
Kiribati,Tarawa,-0.88,169.53,0.1581,28.72
Uzbekistan,Tashkent,41.32,69.25,0.0048,19.38
Georgia,Tbilisi,41.73,44.79,0.1352,20.10
Honduras,Tegucigalpa,14.1,-87.22,0.2329,28.04
Iran,Tehran,35.73,51.33,0.0000,25.90
Bhutan,Thimphu,27.48,89.6,0.0810,11.63
Albania,Tirana,41.33,19.82,0.2143,20.38
Japan,Tokyo,35.69,139.69,0.2048,28.24
Tunisia,Tunis,36.8,10.18,0.0238,25.33
Mongolia,Ulaanbaatar,47.92,106.92,0.0348,9.14
Liechtenstein,Vaduz,47.13,9.52,0.0381,17.38
Malta,Valletta,35.9,14.51,0.7190,23.67
Vatican City,Vatican City,41.9,12.45,0.0476,22.00
Seychelles Islands,Victoria,-4.62,55.45,0.2862,26.60
Austria,Vienna,48.2,16.37,0.0048,17.05
Lithuania,Vilnius,54.68,25.32,0.0048,13.95
Poland,Warsaw,52.25,21,0.0000,15.95
United States of America,Washington Park,46.6,-120.49,0.0000,26.17
New Zealand,Wellington,-41.3,174.78,0.1000,14.19
Namibia,Windhoek,-22.57,17.08,0.0000,17.60
Turkey,Yaren,39.55,27.62,0.0238,21.67
Armenia,Yerevan,40.18,44.51,0.0352,21.24
Croatia,Zagreb,45.8,16,0.0000,16.71
